Tumor_Sample_ID,Tumor_Sample_Index
TCGA-EW-A1PH,406
TCGA-BH-A1FN,407
TCGA-BH-A0HL,408
TCGA-BH-A1FJ,409
TCGA-D1-A16Q,410
TCGA-AO-A03T,411
TCGA-78-7150,412
TCGA-76-4931,413
TCGA-AA-A01D,414
TCGA-32-1991,415
TCGA-E2-A150,416
TCGA-BH-A18S,417
TCGA-AC-A2FB,418
TCGA-AG-4005,419
TCGA-AO-A03N,420
TCGA-A8-A0A7,421
TCGA-BG-A0M8,422
TCGA-25-1635,423
TCGA-BS-A0UF,424
TCGA-55-6972,425
TCGA-EW-A1J3,426
TCGA-A2-A0T1,427
TCGA-D8-A1X9,428
TCGA-AR-A24W,429
TCGA-A8-A0AD,430
TCGA-AA-3971,431
TCGA-JL-A3YW,432
TCGA-06-6388,433
TCGA-06-0151,434
TCGA-AG-3999,435
TCGA-BG-A0VX,436
TCGA-28-1753,437
TCGA-09-1661,438
TCGA-A2-A0YM,439
TCGA-27-2528,440
TCGA-13-0714,441
TCGA-A8-A091,442
TCGA-AO-A129,443
TCGA-A8-A090,444
TCGA-06-5418,445
TCGA-BH-A0BO,446
TCGA-AA-3872,447
TCGA-24-2290,448
TCGA-AA-3842,449
TCGA-A7-A0CE,450
TCGA-04-1530,451
TCGA-BH-A0HK,452
TCGA-24-2271,453
TCGA-AA-3715,454
TCGA-AA-3672,455
TCGA-13-0761,456
TCGA-97-7938,457
TCGA-B6-A1KN,458
TCGA-AC-A23C,459
TCGA-BH-A1FE,460
TCGA-EW-A423,461
TCGA-09-2044,462
TCGA-E2-A14N,463
TCGA-74-6578,464
TCGA-E2-A14O,465
TCGA-AC-A5EH,466
TCGA-AN-A03Y,467
TCGA-44-6146,468
TCGA-A8-A092,469
TCGA-C8-A12Z,470
TCGA-A2-A0ES,471
TCGA-59-2352,472
TCGA-AG-3609,473
TCGA-AR-A1AH,474
TCGA-AP-A059,475
TCGA-BS-A0UJ,476
TCGA-24-1555,477
TCGA-AA-A01G,478
TCGA-BH-A0DL,479
TCGA-44-2665,480
TCGA-24-1434,481
TCGA-64-1678,482
TCGA-A2-A4S2,483
TCGA-AG-3608,484
TCGA-24-2281,485
TCGA-AA-A00L,486
TCGA-A2-A3XY,487
TCGA-24-1469,488
TCGA-50-5072,489
TCGA-AG-3727,490
TCGA-97-7941,491
TCGA-93-7347,492
TCGA-75-5126,493
TCGA-64-1679,494
TCGA-A8-A06O,495
TCGA-76-6656,496
TCGA-24-2024,497
TCGA-75-7027,498
TCGA-LL-A5YO,499
TCGA-GI-A2C8,500
TCGA-BH-A0B5,501
TCGA-A2-A3KD,502
TCGA-A8-A06P,503
TCGA-10-0935,504
TCGA-A7-A3IY,505
TCGA-A5-A0G9,506
TCGA-BH-A18I,507
TCGA-02-2470,508
TCGA-BH-A0E6,509
TCGA-BH-A0DG,510
TCGA-73-4676,511
TCGA-E2-A159,512
TCGA-75-5147,513
TCGA-AP-A0LP,514
TCGA-AP-A0L9,515
TCGA-D1-A16O,516
TCGA-E9-A22H,517
TCGA-BH-A0GZ,518
TCGA-AX-A05W,519
TCGA-AR-A24R,520
TCGA-26-5134,521
TCGA-AA-3866,522
TCGA-AR-A1AR,523
TCGA-BH-A0AV,524
TCGA-AX-A0IU,525
TCGA-16-1045,526
TCGA-A2-A0EV,527
TCGA-BH-A0DV,528
TCGA-AR-A1AQ,529
TCGA-13-1412,530
TCGA-E2-A14Q,531
TCGA-A7-A13H,532
TCGA-44-7662,533
TCGA-06-2570,534
TCGA-AA-3966,535
TCGA-13-0911,536
TCGA-BG-A0MT,537
TCGA-AC-A3W6,538
TCGA-C8-A1HJ,539
TCGA-E9-A243,540
TCGA-BH-A0B3,541
TCGA-E9-A1R2,542
TCGA-78-7156,543
TCGA-13-1499,544
TCGA-AN-A0AM,545
TCGA-BG-A0M9,546
TCGA-AA-A010,547
TCGA-05-4402,548
TCGA-06-0878,549
TCGA-AN-A0FJ,550
TCGA-BH-A18L,551
TCGA-BH-A0RX,552
TCGA-32-4719,553
TCGA-A8-A08O,554
TCGA-FI-A2F8,555
TCGA-25-1326,556
TCGA-AA-3854,557
TCGA-AG-3881,558
TCGA-AA-3980,559
TCGA-06-6694,560
TCGA-BK-A0CB,561
TCGA-AC-A2FM,562
TCGA-BG-A0M6,563
TCGA-AN-A0FL,564
TCGA-EO-A1Y5,565
TCGA-06-0939,566
TCGA-AX-A064,567
TCGA-50-5941,568
TCGA-C8-A12V,569
TCGA-76-6283,570
TCGA-AO-A03O,571
TCGA-A2-A0T3,572
TCGA-06-6389,573
TCGA-41-2571,574
TCGA-D1-A17Q,575
TCGA-04-1361,576
TCGA-AA-A00O,577
TCGA-05-4405,578
TCGA-D8-A27P,579
TCGA-13-1477,580
TCGA-AC-A23G,581
TCGA-19-4068,582
TCGA-05-5715,583
TCGA-E2-A1IO,584
TCGA-AC-A3BB,585
TCGA-06-5859,586
TCGA-D8-A1XV,587
TCGA-32-1986,588
TCGA-06-5413,589
TCGA-BH-A0E0,590
TCGA-13-1501,591
TCGA-61-2111,592
TCGA-BH-A0HP,593
TCGA-D1-A17T,594
TCGA-E9-A1R6,595
TCGA-E2-A15T,596
TCGA-A8-A093,597
TCGA-55-6970,598
TCGA-49-4507,599
TCGA-E9-A1N9,600
TCGA-61-1919,601
TCGA-59-2363,602
TCGA-61-2102,603
TCGA-06-0145,604
TCGA-78-7153,605
TCGA-AQ-A0Y5,606
TCGA-A7-A425,607
TCGA-BH-A203,608
TCGA-E9-A5UO,609
TCGA-78-7155,610
TCGA-E2-A1IL,611
TCGA-06-0649,612
TCGA-73-4659,613
TCGA-BH-A0EA,614
TCGA-B6-A0RI,615
TCGA-AA-A00Z,616
TCGA-BH-A0BM,617
TCGA-AA-A00W,618
TCGA-BG-A0M3,619
TCGA-AA-A01X,620
TCGA-14-1825,621
TCGA-A8-A095,622
TCGA-C8-A1HF,623
TCGA-D1-A17C,624
TCGA-05-5429,625
TCGA-10-0937,626
TCGA-12-0688,627
TCGA-25-1625,628
TCGA-A2-A1G6,629
TCGA-BH-A0EI,630
TCGA-BH-A18N,631
TCGA-A8-A08S,632
TCGA-A7-A13F,633
TCGA-19-5955,634
TCGA-AG-3612,635
TCGA-E2-A1IG,636
TCGA-AO-A128,637
TCGA-E2-A1L9,638
TCGA-AA-3856,639
TCGA-06-0142,640
TCGA-AP-A0LQ,641
TCGA-B5-A0K0,642
TCGA-28-5219,643
TCGA-76-6660,644
TCGA-E9-A1RB,645
TCGA-D1-A167,646
TCGA-B6-A0RG,647
TCGA-A2-A0D0,648
TCGA-BG-A0MG,649
TCGA-AA-3520,650
TCGA-61-2092,651
TCGA-A8-A08F,652
TCGA-A2-A3XU,653
TCGA-BH-A204,654
TCGA-61-2109,655
TCGA-BH-A0BJ,656
TCGA-AN-A03X,657
TCGA-14-0871,658
TCGA-AO-A12D,659
TCGA-AA-3525,660
TCGA-A7-A13E,661
TCGA-23-2081,662
TCGA-32-2634,663
TCGA-24-0979,664
TCGA-49-4487,665
TCGA-B5-A11N,666
TCGA-24-2288,667
TCGA-E9-A1ND,668
TCGA-E9-A228,669
TCGA-E2-A1BC,670
TCGA-06-0158,671
TCGA-59-2350,672
TCGA-A8-A09Z,673
TCGA-AP-A051,674
TCGA-32-1980,675
TCGA-A2-A1FX,676
TCGA-25-1316,677
TCGA-A5-A0GP,678
TCGA-AA-3831,679
TCGA-D8-A4Z1,680
TCGA-E9-A22E,681
TCGA-49-4486,682
TCGA-97-7554,683
TCGA-BH-A0B1,684
TCGA-06-0881,685
TCGA-A8-A08J,686
TCGA-A2-A0D3,687
TCGA-55-7815,688
TCGA-LL-A5YN,689
TCGA-27-2521,690
TCGA-06-0241,691
TCGA-A8-A08C,692
