Gene_Name,Index
ALG13,539
ALG14,540
ALG1L,541
ALG1L2,542
ALG2,543
ALG3,544
ALG5,545
ALG6,546
ALG8,547
ALG9,548
ALK,549
ALKBH1,550
ALKBH2,551
ALKBH3,552
ALKBH4,553
ALKBH5,554
ALKBH6,555
ALKBH7,556
ALKBH8,557
ALLC,558
ALMS1,559
ALMS1P,560
ALOX12,561
ALOX12B,562
ALOX15,563
ALOX15B,564
ALOX5,565
ALOX5AP,566
ALOXE3,567
ALPI,568
ALPK1,569
ALPK2,570
ALPK3,571
ALPL,572
ALPP,573
ALPPL2,574
ALS2,575
ALS2CL,576
ALS2CR11,577
ALS2CR12,578
ALS2CR4,579
ALS2CR8,580
ALX1,581
ALX3,582
ALX4,583
ALYREF,584
AMAC1,585
AMAC1L2,586
AMAC1L3,587
AMACR,588
AMBN,589
AMBP,590
AMBRA1,591
AMD1,592
AMDHD1,593
AMDHD2,594
AMELX,595
AMELY,596
AMFR,597
AMH,598
AMHR2,599
AMICA1,600
AMIGO1,601
AMIGO2,602
AMIGO3,603
AMMECR1,604
AMMECR1L,605
AMN,606
AMN1,607
AMOT,608
AMOTL1,609
AMOTL2,610
AMPD1,611
AMPD2,612
AMPD3,613
AMPH,614
AMT,615
AMTN,616
AMY1A,617
AMY1B,618
AMY1C,619
AMY2A,620
AMY2B,621
AMZ1,622
AMZ2,623
ANAPC1,624
ANAPC10,625
ANAPC11,626
ANAPC13,627
ANAPC16,628
ANAPC2,629
ANAPC4,630
ANAPC5,631
ANAPC7,632
ANG,633
ANGEL1,634
ANGEL2,635
ANGPT1,636
ANGPT2,637
ANGPT4,638
ANGPTL1,639
ANGPTL2,640
ANGPTL3,641
ANGPTL4,642
ANGPTL5,643
ANGPTL6,644
ANGPTL7,645
ANK1,646
ANK2,647
ANK3,648
ANKAR,649
ANKDD1A,650
ANKDD1B,651
ANKFN1,652
ANKFY1,653
ANKH,654
ANKHD1,655
ANKHD1-EIF4EBP3,656
ANKIB1,657
ANKK1,658
ANKLE1,659
ANKLE2,660
ANKMY1,661
ANKMY2,662
ANKRA2,663
ANKRD1,664
ANKRD10,665
ANKRD11,666
ANKRD12,667
ANKRD13A,668
ANKRD13B,669
ANKRD13C,670
ANKRD13D,671
ANKRD16,672
ANKRD17,673
ANKRD18A,674
ANKRD18B,675
ANKRD19,676
ANKRD2,677
ANKRD20A1,678
ANKRD20A11P,679
ANKRD20A19P,680
ANKRD20A2,681
ANKRD20A3,682
ANKRD20A4,683
ANKRD20B,684
ANKRD22,685
ANKRD23,686
ANKRD24,687
ANKRD26,688
ANKRD27,689
ANKRD28,690
ANKRD29,691
ANKRD30A,692
ANKRD30B,693
ANKRD30BL,694
ANKRD31,695
ANKRD32,696
ANKRD33,697
ANKRD33B,698
ANKRD34A,699
ANKRD34B,700
ANKRD34C,701
ANKRD35,702
ANKRD36,703
ANKRD36B,704
ANKRD36BP1,705
ANKRD36BP2,706
ANKRD36C,707
ANKRD37,708
ANKRD39,709
ANKRD40,710
ANKRD42,711
ANKRD44,712
ANKRD45,713
ANKRD46,714
ANKRD49,715
ANKRD5,716
ANKRD50,717
